new_index,s_time,e_time,delta_time,old_index
0,21000,23419,0,6
1,21000,23146,0,4
2,21000,22924,0,7
3,21300,23446,300,4
4,21360,23486,0,5
5,21420,23344,420,7
6,21660,23806,660,4
7,21720,23644,720,7
8,21780,23906,420,5
9,22020,23944,1020,7
10,22020,24166,1020,4
11,22080,24206,720,5
12,22320,24739,1320,6
13,22380,24304,1380,7
14,22440,24586,1440,4
15,22560,24686,1200,5
16,22680,24604,1680,7
17,22740,25159,1740,6
18,22800,26930,0,20
19,22800,26471,0,25
20,22800,26038,0,21
21,22800,28989,0,17
22,22800,28759,0,16
23,22800,24946,1800,4
24,22860,28411,0,24
25,22980,26218,180,21
26,23040,25186,2040,4
27,23040,24964,2040,7
28,23040,25459,2040,6
29,23220,25346,1860,5
30,23220,26458,420,21
31,23280,25204,2280,7
32,23280,27410,480,20
33,23340,25486,2340,4
34,23340,27011,540,25
35,23400,29359,600,16
36,23400,25517,0,9
37,23400,25526,2040,5
38,23400,26020,0,1
39,23400,29589,600,17
40,23400,25527,0,8
41,23460,26523,0,40
42,23460,29011,600,24
43,23460,26698,660,21
44,23460,25879,2460,6
45,23520,26414,0,41
46,23580,25707,180,8
47,23640,25564,2640,7
48,23640,26260,240,1
49,23700,25846,2700,4
50,23700,26109,0,0
51,23700,26938,900,21
52,23760,25877,360,9
53,23760,25886,2400,5
54,23820,26239,2820,6
55,23820,25947,420,8
56,23940,27178,1140,21
57,23940,26349,240,0
58,23940,29899,1140,16
59,23940,26834,420,41
60,24000,26620,600,1
61,24000,27021,0,14
62,24000,30189,1200,17
63,24000,26995,0,15
64,24000,29551,1140,24
65,24060,26206,3060,4
66,24060,26187,660,8
67,24060,26177,660,9
68,24120,26246,2760,5
69,24120,27183,660,40
70,24180,27418,1380,21
71,24180,26104,3180,7
72,24180,26326,3180,4
73,24180,26599,3180,6
74,24240,28370,1440,20
75,24240,26649,540,0
76,24300,27194,780,41
77,24300,27971,1500,25
78,24300,26920,900,1
79,24360,26486,3000,5
80,24360,26487,960,8
81,24420,27658,1620,21
82,24480,26597,1080,9
83,24480,27475,480,15
84,24480,26899,3480,6
85,24540,26686,3540,4
86,24540,30499,1740,16
87,24540,27561,540,14
88,24600,27009,900,0
89,24600,26727,1200,8
90,24600,30151,1740,24
91,24600,27220,1200,1
92,24600,30789,1800,17
93,24660,27898,1860,21
94,24660,26806,3660,4
95,24660,27723,1200,40
96,24720,28850,1920,20
97,24720,27614,1200,41
98,24720,26644,3720,7
99,24780,26897,1380,9
100,24840,26764,3840,7
101,24840,28511,2040,25
102,24840,27259,3840,6
103,24840,27249,1140,0
104,24840,26967,1440,8
105,24840,26966,3480,5
106,24900,27520,1500,1
107,24900,27046,3900,4
108,24960,27955,960,15
109,24960,27981,960,14
110,24960,28198,2160,21
111,25020,27147,1620,8
112,25080,27206,3720,5
113,25080,27499,4080,6
114,25140,28378,2340,21
115,25140,27064,4140,7
116,25140,27549,1440,0
117,25140,27286,4140,4
118,25140,31099,2340,16
119,25140,28203,1680,40
120,25200,27218,0,36
121,25200,26995,0,31
122,25200,28058,0,43
123,25200,30751,2340,24
124,25200,31486,2400,17
125,25200,27820,1800,1
126,25200,27262,0,10
127,25200,28711,0,23
128,25200,27584,0,38
129,25200,26671,0,12
130,25200,27460,0,30
131,25200,26675,0,13
132,25200,28026,0,22
133,25200,27236,0,39
134,25260,27400,1860,9
135,25260,28043,0,42
136,25260,28130,0,29
137,25320,27344,0,37
138,25320,27539,1920,8
139,25320,28326,1800,41
140,25380,27976,4380,6
141,25380,28531,1380,14
142,25380,27461,4380,7
143,25440,28678,2640,21
144,25440,28060,2040,1
145,25440,28640,1440,15
146,25440,27807,4440,4
147,25440,27756,4080,5
148,25500,27909,1800,0
149,25500,27640,2100,9
150,25500,29463,2700,25
151,25560,29698,2760,20
152,25560,27779,2160,8
153,25620,27987,4620,4
154,25620,28683,2160,40
155,25680,28918,2880,21
156,25680,31966,2880,17
157,25680,27761,4680,7
158,25680,27996,4320,5
159,25740,28149,2040,0
160,25740,27880,2340,9
161,25740,28360,2340,1
162,25740,31903,2940,16
163,25740,27211,540,12
164,25800,28626,600,22
165,25800,27275,600,13
166,25800,28019,2400,8
167,25800,28806,2280,41
168,25860,28227,4860,4
169,25860,29098,3060,21
170,25860,29011,1860,14
171,25860,28244,660,38
172,25920,31471,3060,24
173,25920,30058,3120,20
174,25920,29120,1920,15
175,25920,28236,4560,5
176,25920,27944,600,37
177,25980,29180,1980,15
178,25980,28576,4980,6
179,26040,28898,840,43
180,26040,28180,2640,9
181,26040,29551,840,23
182,26040,30003,3240,25
183,26040,28121,5040,7
184,26100,28720,2700,1
185,26100,28118,900,36
186,26100,29338,3300,21
187,26100,28319,2700,8
188,26100,28467,5100,4
189,26100,28136,900,39
190,26100,29163,2640,40
191,26100,28162,900,10
192,26100,28509,2400,0
193,26160,28943,900,42
194,26160,32446,3360,17
195,26220,28360,2820,9
196,26280,28075,1080,31
197,26280,28540,1080,30
198,26280,29286,2760,41
199,26280,28361,5280,7
200,26280,28596,4920,5
201,26340,32503,3540,16
202,26340,30478,3540,20
203,26340,29578,3540,21
204,26340,29540,2340,15
205,26340,27815,1140,13
206,26340,29210,1080,29
207,26400,29020,3000,1
208,26400,28809,2700,0
209,26400,29551,2400,14
210,26400,28619,3000,8
211,26400,28996,5400,6
212,26400,29226,1200,22
213,26400,28767,5400,4
214,26400,27871,1200,12
215,26460,28600,3060,9
216,26460,28776,5100,5
217,26460,30598,3660,20
218,26520,28739,3120,8
219,26580,32131,3720,24
220,26580,28661,5580,7
221,26640,29007,5640,4
222,26640,32926,3840,17
223,26640,29703,3180,40
224,26640,28664,1320,37
225,26640,29260,3240,1
226,26640,29236,5640,6
227,26640,29024,1440,38
228,26700,29016,5340,5
229,26700,28718,1500,36
230,26700,30663,3900,25
231,26700,29109,3000,0
232,26700,28840,3300,9
233,26760,29998,3960,21
234,26820,29039,3420,8
235,26820,29187,5820,4
236,26820,29826,3300,41
237,26880,31018,4080,20
238,26880,30080,2880,15
239,26880,30031,2880,14
240,26940,30451,1740,23
241,26940,29766,1740,22
242,26940,29021,5940,7
243,26940,29002,1740,10
244,26940,33103,4140,16
245,26940,29080,3540,9
246,26940,29723,1680,42
247,26940,28415,1740,13
248,27000,29620,3600,1
249,27000,29858,1800,43
250,27000,28471,1800,12
251,27000,29409,3300,0
252,27000,29219,3600,8
253,27000,27903,0,26
254,27000,29316,5640,5
255,27000,29596,6000,6
256,27000,29036,1800,39
257,27060,30123,3600,40
258,27060,29427,6060,4
259,27120,33406,4320,17
260,27180,30418,4380,21
261,27180,29320,3780,9
262,27180,29776,6180,6
263,27180,29496,5820,5
264,27180,29399,3780,8
265,27240,29321,6240,7
266,27240,31203,4440,25
267,27240,31378,4440,20
268,27240,29556,5880,5
269,27240,29860,3840,1
270,27300,29709,3600,0
271,27300,32851,4440,24
272,27300,29616,5940,5
273,27300,29667,6300,4
274,27360,29620,2160,30
275,27360,29155,2160,31
276,27360,29384,2040,37
277,27360,30366,3840,41
278,27360,29744,2160,38
279,27360,30511,3360,14
280,27420,29639,4020,8
281,27420,29438,2220,36
282,27420,29560,4020,9
283,27420,28895,2220,13
284,27480,29561,6480,7
285,27540,29576,2340,39
286,27540,29011,2340,12
287,27540,30136,6540,6
288,27540,33703,4740,16
289,27540,30160,4140,1
290,27600,30426,2400,22
291,27600,29967,6600,4
292,27600,30838,4800,21
293,27600,30009,3900,0
294,27600,30663,4140,40
295,27600,30458,2400,43
296,27600,30800,3600,15
297,27660,29800,4260,9
298,27660,30425,0,28
299,27660,29879,4260,8
300,27660,33946,4860,17
301,27660,31798,4860,20
302,27660,30530,2400,29
303,27660,29976,6300,5
304,27720,29125,0,11
305,27720,29801,6720,7
306,27780,30376,6780,6
307,27780,30931,3780,14
308,27840,30846,4320,41
309,27840,30460,4440,1
310,27840,31351,2640,23
311,27840,30207,6840,4
312,27840,30249,4140,0
313,27900,30216,6540,5
314,27900,30284,2700,38
315,27900,30119,4500,8
316,27960,30022,2760,10
317,27960,31160,3960,15
318,27960,31923,5160,25
319,27960,29984,2640,37
320,27960,30100,4560,9
321,27960,29978,2760,36
322,27960,30041,6960,7
323,28020,30846,2820,22
324,28020,31258,5220,21
325,28020,30803,2760,42
326,28020,34183,5220,16
327,28020,31083,4560,40
328,28080,30447,7080,4
329,28140,30549,4440,0
330,28140,34426,5340,17
331,28140,29611,2940,12
332,28140,30736,7140,6
333,28140,30760,4740,1
334,28140,31010,2880,29
335,28140,30176,2940,39
336,28140,32278,5340,20
337,28140,30359,4740,8
338,28140,29615,2940,13
339,28140,33691,5280,24
340,28140,30456,6780,5
341,28260,31411,4260,14
342,28260,30341,7260,7
343,28320,30687,7320,4
344,28380,30520,4980,9
345,28380,30599,4980,8
346,28380,31891,3180,23
347,28380,30976,7380,6
348,28440,30235,3240,31
349,28440,30700,3240,30
350,28440,30756,7080,5
351,28500,31506,4980,41
352,28500,31738,5700,21
353,28500,31563,5040,40
354,28500,30524,3180,37
355,28500,31120,5100,1
356,28500,34663,5700,16
357,28500,30867,7500,4
358,28500,30909,4800,0
359,28560,31418,3360,43
360,28560,31386,3360,22
361,28560,32698,5760,20
362,28620,30091,3420,12
363,28620,30760,5220,9
364,28620,30936,7260,5
365,28620,34906,5820,17
366,28680,30085,960,11
367,28680,30899,5280,8
368,28740,31505,1080,28
369,28740,31891,4740,14
370,28740,31149,5040,0
371,28740,30821,7740,7
372,28740,29625,0,27
373,28740,30758,3540,36
374,28740,30215,3540,13
375,28740,30776,3540,39
376,28800,32763,6000,25
377,28800,32000,4800,15
378,28800,31184,3600,38
379,28800,31583,3540,42
380,28800,34351,5940,24
381,28800,31670,3540,29
382,28800,31396,7800,6
383,28800,31420,5400,1
384,28860,31866,5340,41
385,28860,31079,5460,8
386,28860,31000,5460,9
387,28860,31227,7860,4
388,28920,31236,7560,5
389,28920,32120,4920,15
390,28980,31806,3780,22
391,28980,32218,6180,21
392,28980,35143,6180,16
393,28980,31061,7980,7
394,29040,31449,5340,0
395,29040,31407,8040,4
396,29040,31636,8040,6
397,29040,32551,3840,23
398,29040,31064,3720,37
399,29100,31720,5700,1
400,29100,31162,3900,10
401,29100,32163,5640,40
402,29100,33238,6300,20
403,29100,35386,6300,17
404,29100,31416,7740,5
405,29100,31240,5700,9
406,29160,31379,5760,8
407,29160,30631,3960,12
408,29220,31301,8220,7
409,29280,30755,4080,13
410,29280,31647,8280,4
411,29340,32210,4080,29
412,29340,31936,8340,6
413,29340,31559,5940,8
414,29340,31480,5940,9
415,29340,31749,5640,0
416,29400,32020,6000,1
417,29400,31716,8040,5
418,29400,31784,4200,38
419,29400,32551,5400,14
420,29400,32258,4200,43
421,29460,31484,4140,37
422,29460,31478,4260,36
423,29460,32286,4260,22
424,29460,31541,8460,7
425,29460,35746,6660,17
426,29460,31496,4260,39
427,29460,32698,6660,21
428,29520,31315,4320,31
429,29520,32526,6000,41
430,29520,31780,4320,30
431,29520,32720,5520,15
432,29520,35683,6720,16
433,29580,33718,6780,20
434,29580,32176,8580,6
435,29580,31720,6180,9
436,29580,31051,4380,12
437,29640,32260,6240,1
438,29640,33151,4440,23
439,29640,32049,5940,0
440,29640,31859,6240,8
441,29640,32007,8640,4
442,29640,31956,8280,5
443,29700,33663,6900,25
444,29760,31841,8760,7
445,29760,35311,6900,24
446,29760,31165,2040,11
447,29760,32823,6300,40
448,29820,31960,6420,9
449,29820,32416,8820,6
450,29820,32603,4560,42
451,29880,32196,8520,5
452,29880,31904,4560,37
453,29880,32099,6480,8
454,29880,36166,7080,17
455,29940,32002,4740,10
456,29940,32307,8940,4
457,29940,32946,6420,41
458,29940,32324,4740,38
459,29940,32766,4740,22
460,30000,31471,4800,12
461,30000,36163,7200,16
462,30000,33151,6000,14
463,30000,31042,0,18
464,30000,32081,9000,7
465,30000,32620,6600,1
466,30000,33200,6000,15
467,30000,33238,7200,21
468,30000,32870,4740,29
469,30000,32765,2340,28
470,30000,32409,6300,0
471,30060,34198,7260,20
472,30060,32200,6660,9
473,30060,32078,4860,36
474,30060,32376,8700,5
475,30060,33123,6600,40
476,30120,32339,6720,8
477,30120,32144,4800,37
478,30120,31595,4920,13
479,30180,32216,4980,39
480,30180,32547,9180,4
481,30240,32860,6840,1
482,30300,32896,9300,6
483,30300,32381,9300,7
484,30300,33811,5100,23
485,30300,32709,6600,0
486,30300,32519,6900,8
487,30360,32676,9000,5
488,30360,36646,7560,17
489,30360,33218,5160,43
490,30360,32500,6960,9
491,30420,31895,5220,13
492,30480,34618,7680,20
493,30480,33486,6960,41
494,30480,31951,5280,12
495,30540,33691,6540,14
496,30540,33305,2880,28
497,30540,32907,9540,4
498,30540,33160,7140,1
499,30540,32621,9540,7
500,30600,36151,7740,24
501,30600,33009,6900,0
502,30600,33196,9600,6
503,30600,32740,7200,9
504,30600,32916,9240,5
505,30600,32819,7200,8
506,30600,36763,7800,16
507,30600,32860,5400,30
508,30600,33426,5400,22
509,30600,32395,5400,31
510,30600,32984,5400,38
511,30660,34171,5460,23
512,30660,34623,7860,25
513,30660,33443,5400,42
514,30720,32738,5520,36
515,30720,34858,7920,20
516,30780,33843,7320,40
517,30780,32920,7380,9
518,30780,32999,7380,8
519,30780,32861,9780,7
520,30840,37126,8040,17
521,30840,33156,9480,5
522,30840,33460,7440,1
523,30840,34040,6840,15
524,30900,32375,5700,13
525,30900,33309,7200,0
526,30900,32305,3180,11
527,30960,34160,6960,15
528,30960,32996,5760,39
529,31020,33616,10020,6
530,31020,33239,7620,8
531,31020,33387,10020,4
532,31020,35158,8220,20
533,31020,33160,7620,9
534,31080,33098,5880,36
535,31140,34378,8340,21
536,31140,33736,10140,6
537,31140,33456,9780,5
538,31140,34291,7140,14
539,31140,37303,8340,16
540,31140,34010,5880,29
541,31140,33221,10140,7
542,31140,33760,7740,1
543,31140,32611,5940,12
544,31140,33164,5820,37
545,31140,33998,5940,43
546,31140,33507,10140,4
547,31140,34651,5940,23
548,31140,34146,7620,41
549,31200,34026,6000,22
550,31200,33262,6000,10
551,31260,33644,6060,38
552,31260,33856,10260,6
553,31260,33400,7860,9
554,31260,34025,3600,28
555,31320,33729,7620,0
556,31380,33599,7980,8
557,31380,34443,7920,40
558,31380,37666,8580,17
559,31380,33696,10020,5
560,31440,32915,6240,13
561,31440,35578,8640,20
562,31440,33807,10440,4
563,31500,34120,8100,1
564,31500,33518,6300,36
565,31500,34096,10500,6
566,31560,33700,8160,9
567,31560,34343,6300,42
568,31560,33641,10560,7
569,31560,33779,8160,8
570,31620,35131,6420,23
571,31620,33656,6420,39
572,31620,37171,8760,24
573,31620,34771,7620,14
574,31680,33940,6480,30
575,31680,33475,6480,31
576,31680,33996,10320,5
577,31680,34686,8160,41
578,31680,34089,7980,0
579,31680,33085,3960,11
580,31740,34360,8340,1
581,31740,34940,7740,15
582,31740,34107,10740,4
583,31740,34978,8940,21
584,31740,33821,10740,7
585,31740,35703,8940,25
586,31740,34505,4080,28
587,31740,37903,8940,16
588,31740,33880,8340,9
589,31740,34566,6540,22
590,31800,34019,8400,8
591,31800,33275,6600,13
592,31800,33824,6480,37
593,31800,33271,6600,12
594,31860,38146,9060,17
595,31860,34456,10860,6
596,31860,34000,8460,9
597,31920,36058,9120,20
598,31980,34296,10620,5
599,31980,34120,8580,9
600,31980,34389,8280,0
601,31980,35043,8520,40
602,31980,34364,6780,38
603,31980,34576,10980,6
604,32040,34660,8640,1
605,32040,34259,8640,8
606,32100,34118,6900,36
607,32100,35106,8580,41
608,32100,34958,6900,43
609,32100,35611,6900,23
610,32100,34467,11100,4
611,32160,35360,8160,15
612,32160,35311,8160,14
613,32160,34241,11160,7
614,32220,34360,8820,9
615,32220,33695,7020,13
616,32280,38566,9480,17
617,32280,34596,10920,5
618,32280,34499,8880,8
619,32340,34960,8940,1
620,32340,34707,11340,4
621,32340,34936,11340,6
622,32340,33243,5340,26
623,32340,35578,9540,21
624,32340,35166,7140,22
625,32340,33811,7140,12
626,32340,38503,9540,16
627,32400,33847,0,32
628,32400,33381,0,19
629,32400,34424,7080,37
630,32400,33852,0,33
631,32400,34809,8700,0
632,32400,34782,7140,42
633,32400,34358,7200,39
634,32400,37951,9540,24
635,32460,34370,7260,10
636,32460,34587,9060,8
637,32460,34384,11460,7
638,32460,36590,9660,20
639,32460,34956,4800,28
640,32520,34637,9120,9
641,32520,36191,9720,25
642,32580,35643,9120,40
643,32580,35923,7380,23
644,32580,34726,11580,4
645,32580,35178,7320,29
646,32640,35059,11640,6
647,32640,34564,11640,7
648,32640,34766,11280,5
649,32640,35661,8640,14
650,32640,35534,9120,41
651,32700,34817,9300,9
652,32700,34478,7500,38
653,32700,34718,7500,36
654,32700,35320,9300,1
655,32760,34887,9360,8
656,32760,35169,9060,0
657,32760,34930,7560,30
658,32760,34555,7560,31
659,32820,39009,10020,17
660,32880,34804,11880,7
661,32940,38899,10140,16
662,32940,34345,5220,11
663,32940,35057,9540,9
664,32940,35086,11940,4
665,32940,34415,7740,13
666,32940,34411,7740,12
667,32940,37070,10140,20
668,32940,35067,9540,8
669,32940,36178,10140,21
670,33000,35126,11640,5
671,33000,35506,7800,43
672,33060,35479,12060,6
673,33060,35469,9360,0
674,33060,35680,9660,1
675,33060,35886,7860,22
676,33060,35084,7740,37
677,33060,36055,9060,15
678,33060,36081,9060,14
679,33120,35266,12120,4
680,33180,35297,9780,9
681,33180,36243,9720,40
682,33180,35307,9780,8
683,33180,36523,7980,23
684,33180,35306,11820,5
685,33240,35164,12240,7
686,33240,35198,8040,39
687,33300,35719,12300,6
688,33300,35446,12300,4
689,33300,36194,9780,41
690,33300,35210,8100,10
691,33300,36295,9300,15
692,33300,39489,10500,17
693,33360,35138,8160,38
694,33360,37490,10560,20
695,33420,36040,10020,1
696,33420,35829,9720,0
697,33420,36018,8160,29
698,33420,35537,10020,9
699,33480,35862,8220,42
700,33480,35498,8280,36
701,33540,35667,10140,8
702,33540,36778,10740,21
703,33540,35686,12540,4
704,33540,35666,12180,5
705,33540,36036,5880,28
706,33540,35464,12540,7
707,33540,39499,10740,16
708,33540,35959,12540,6
709,33600,35075,8400,13
710,33600,39151,10740,24
711,33600,35052,1200,33
712,33600,36621,9600,14
713,33600,35047,1200,32
714,33660,35131,8460,12
715,33660,35787,10260,8
716,33720,35866,12720,4
717,33720,37391,10920,25
718,33720,35837,10320,9
719,33780,39969,10980,17
720,33780,35906,12420,5
721,33780,36189,10080,0
722,33840,36346,8640,43
723,33840,37970,11040,20
724,33840,35864,8520,37
725,33840,36460,10440,1
726,33840,36903,10380,40
727,33840,35764,12840,7
728,33840,36835,9840,15
729,33840,37183,8640,23
730,33900,36726,8700,22
731,33900,36319,12900,6
732,33900,35918,8700,36
733,33900,36017,10500,9
734,33960,36854,10440,41
735,33960,36087,10560,8
736,33960,36106,12960,4
737,33960,36130,8760,30
738,33960,37198,11160,21
739,33960,35755,8760,31
740,34020,35495,8820,13
741,34080,37101,10080,14
742,34080,37075,10080,15
743,34080,36206,12720,5
744,34080,36499,13080,6
745,34140,35611,8940,12
746,34140,36549,10440,0
747,34140,40099,11340,16
748,34140,36257,10740,9
749,34200,37438,11400,21
750,34200,35605,6480,11
751,34200,36582,8940,42
752,34200,35978,9000,38
753,34200,36158,9000,39
754,34200,36820,10800,1
755,34260,36406,13260,4
756,34260,35145,5520,27
757,34260,36184,13260,7
758,34260,36387,10860,8
759,34260,40449,11460,17
760,34260,36858,9000,29
761,34260,36170,9060,10
762,34320,36437,10920,9
763,34380,38510,11580,20
764,34380,36506,13020,5
765,34440,36859,13440,6
766,34440,36364,13440,7
767,34440,37783,9240,23
768,34440,37334,10920,41
769,34500,37563,11040,40
770,34500,36518,9300,36
771,34500,37521,10500,14
772,34500,36627,11100,8
773,34560,36584,9240,37
774,34560,36686,13200,5
775,34560,37180,11160,1
776,34560,36969,10860,0
777,34560,37386,9360,22
778,34620,36737,11220,9
779,34620,36766,13620,4
780,34680,40231,11820,24
781,34740,37735,10740,15
782,34740,37159,13740,6
783,34740,36698,9540,39
784,34740,37978,11940,21
785,34800,38471,12000,25
786,34800,36927,11400,8
787,34800,40759,12000,16
788,34800,36252,2400,33
789,34800,36247,2400,32
790,34800,40989,12000,17
791,34800,37306,9600,43
792,34860,37269,11160,0
793,34860,37356,7200,28
794,34860,36784,13860,7
795,34860,38990,12060,20
796,34860,36335,9660,13
797,34860,37855,10860,15
798,34860,36986,13500,5
799,34860,36977,11460,9
800,34920,37540,11520,1
801,34920,37066,13920,4
802,34980,38323,9780,23
803,34980,37107,11580,8
804,34980,36904,13980,7
805,35040,37638,9780,29
806,35040,36950,9840,10
807,35040,37459,14040,6
808,35040,36511,9840,12
809,35040,38061,11040,14
810,35040,36818,9840,38
811,35100,36505,7380,11
812,35100,37217,11700,9
813,35100,37226,13740,5
814,35100,37482,9840,42
815,35100,37994,11580,41
816,35160,37178,9960,36
817,35160,38223,11700,40
818,35160,36955,9960,31
819,35160,37330,9960,30
820,35220,37629,11520,0
821,35220,37347,11820,8
822,35220,38046,10020,22
823,35220,37366,14220,4
824,35280,36755,10080,13
825,35280,37900,11880,1
826,35340,41299,12540,16
827,35340,37466,13980,5
828,35340,37457,11940,9
829,35340,37364,10020,37
830,35340,37759,14340,6
831,35400,38638,12600,21
832,35400,37358,10200,39
833,35400,37527,12000,8
834,35400,37546,14400,4
835,35400,37324,14400,7
836,35460,41649,12660,17
837,35460,39590,12660,20
838,35460,38481,11460,14
839,35580,37697,12180,9
840,35580,37999,14580,6
841,35580,37707,12180,8
842,35580,37989,11880,0
843,35640,38260,12240,1
844,35640,37766,14280,5
845,35700,37846,14700,4
846,35700,38206,10500,43
847,35760,38256,8100,28
848,35760,38654,12240,41
849,35820,37947,12420,8
850,35820,37744,14820,7
851,35820,39163,10620,23
852,35820,37946,14460,5
853,35880,37997,12480,9
854,35880,37355,10680,13
855,35940,38349,12240,0
856,35940,37958,10740,36
857,35940,39003,12480,40
858,35940,37850,10740,10
859,35940,38766,10740,22
860,35940,37718,10740,38
861,35940,38086,14940,4
862,35940,37411,10740,12
863,35940,39178,13140,21
864,35940,37898,10740,39
865,36000,40130,13200,20
866,36000,42189,13200,17
867,36000,41551,13140,24
868,36000,36903,9000,26
869,36000,39021,12000,14
870,36000,38126,14640,5
871,36000,41959,13200,16
872,36000,38024,10680,37
873,36000,38419,15000,6
874,36000,39671,13200,25
875,36000,38620,12600,1
876,36000,37447,3600,32
877,36000,38995,12000,15
878,36000,38382,10740,42
879,36000,37452,3600,33
880,36060,38187,12660,8
881,36060,38177,12660,9
882,36060,37984,15060,7
883,36120,38718,10860,29
884,36180,38326,15180,4
885,36240,38164,15240,7
886,36240,38366,14880,5
887,36300,39295,12300,15
888,36300,38719,15300,6
889,36300,38427,12900,8
890,36300,38709,12600,0
891,36360,38980,12960,1
892,36360,38477,12960,9
893,36360,38155,11160,31
894,36360,38530,11160,30
895,36420,39483,12960,40
896,36480,39374,12960,41
897,36540,39883,11340,23
898,36540,38318,11340,38
899,36540,38667,13140,8
900,36540,38686,15540,4
901,36540,38949,12840,0
902,36540,38959,15540,6
903,36540,42499,13740,16
904,36540,39561,12540,14
905,36600,39106,11400,43
906,36600,38071,11400,12
907,36600,38005,8880,11
908,36600,39096,8940,28
909,36660,38684,11340,37
910,36660,38777,13260,9
911,36720,42909,13920,17
912,36720,40850,13920,20
913,36720,39340,13320,1
914,36720,39546,11520,22
915,36720,38738,11520,36
916,36780,38738,11580,39
917,36780,38926,15780,4
918,36780,38704,15780,7
919,36780,39775,12780,15
920,36780,39199,15780,6
921,36780,40018,13980,21
922,36840,38967,13440,8
923,36840,38957,13440,9
924,36840,39222,11580,42
925,36840,39438,11580,29
926,36900,39309,13200,0
927,36900,39026,15540,5
928,37020,39640,13620,1
929,37020,38495,11820,13
930,37020,39137,13620,9
931,37020,39147,13620,8
932,37080,40143,13620,40
933,37080,38858,11880,38
934,37140,39286,16140,4
935,37140,38611,11940,12
936,37140,40034,13620,41
937,37140,39064,16140,7
938,37140,39559,16140,6
939,37140,40378,14340,21
940,37140,43099,14340,16
941,37200,42751,14340,24
942,37200,40543,12000,23
943,37200,40221,13200,14
944,37200,39609,13500,0
945,37200,39326,15840,5
946,37200,39317,13800,9
947,37200,38652,4800,33
948,37200,39110,12000,10
949,37200,38647,4800,32
950,37320,39447,13920,8
951,37380,39526,16380,4
952,37380,39398,12180,36
953,37440,39464,12120,37
954,37440,40060,14040,1
955,37440,39849,13740,0
956,37440,39364,16440,7
957,37440,40266,12240,22
958,37440,39936,9780,28
959,37500,41171,14700,25
960,37500,39626,16140,5
961,37500,43689,14700,17
962,37500,40006,12300,43
963,37500,39617,14100,9
964,37500,39627,14100,8
965,37500,41630,14700,20
966,37500,40495,13500,15
967,37560,40555,13560,15
968,37560,39355,12360,31
969,37560,39979,16560,6
970,37560,39730,12360,30
971,37620,39766,16620,4
972,37680,39085,9960,11
973,37740,43699,14940,16
974,37740,39698,12540,39
975,37740,39211,12540,12
976,37740,39867,14340,8
977,37740,40978,14940,21
978,37740,40159,16740,6
979,37740,39866,16380,5
980,37740,40360,14340,1
981,37740,40149,14040,0
982,37740,39857,14340,9
983,37740,40761,13740,14
984,37800,40863,14340,40
985,37800,40398,12540,29
986,37800,39724,16800,7
987,37800,41143,12600,23
988,37800,38685,9060,27
989,37860,40242,12600,42
990,37920,40066,16920,4
991,37920,39395,12720,13
992,37980,40874,14460,41
993,37980,40399,16980,6
994,37980,40097,14580,9
995,38040,40167,14640,8
996,38040,40166,16680,5
997,38040,40449,14340,0
998,38100,40118,12900,36
999,38100,39878,12900,38
1000,38100,40926,12900,22
1001,38100,40024,17100,7
1002,38160,40780,14760,1
1003,38160,40184,12840,37
1004,38160,44349,15360,17
1005,38160,42290,15360,20
1006,38220,40346,16860,5
1007,38220,40366,17220,4
1008,38280,40397,14880,9
1009,38280,40407,14880,8
1010,38340,40466,16980,5
1011,38340,40749,14640,0
1012,38340,39811,13140,12
1013,38340,39815,13140,13
1014,38340,41578,15540,21
1015,38340,40250,13140,10
1016,38340,40264,17340,7
1017,38340,44299,15540,16
1018,38400,40906,13200,43
1019,38400,39847,6000,32
1020,38400,41294,14880,41
1021,38400,39852,6000,33
1022,38400,41421,14400,14
1023,38460,40587,15060,8
1024,38460,40956,10800,28
1025,38460,41080,15060,1
1026,38520,41583,15060,40
1027,38520,40637,15120,9
1028,38520,40666,17520,4
1029,38580,40706,17220,5
1030,38580,41575,14580,15
1031,38580,40358,13380,38
1032,38640,40564,17640,7
1033,38640,41635,14640,15
1034,38640,41049,14940,0
1035,38640,41983,13440,23
1036,38640,44191,15780,24
1037,38640,41059,17640,6
1038,38700,40817,15300,9
1039,38700,40658,13500,39
